,All patients,Ideal,NIHSS < 5,Estimated onset time,mRS > 2,Age > 80,Arrival-to-scan 60-90,Haemorrhagic,Used AF anticoagulants,Onset-to-arrival time 150-180,Onset during sleep,NIHSS + Precise,NIHSS + Disability,Precise + Disability,NIHSS + Precise + Disability
AGNOF1041H,30.880000000000003,100.0,6.300053390282969,10.214911117007164,16.124260355029584,25.200945626477537,6.637806637806638,0.0,3.3030553261767133,21.34831460674157,0.2364066193853428,0.0,0.0,2.5183630640083945,0.0
AKCGO9726K,33.94,100.0,13.053924185798186,7.296365083576546,23.61932938856016,28.463356973995275,12.265512265512266,0.0,4.376548307184145,23.391215526046988,0.2364066193853428,0.33377837116154874,3.6072144288577155,1.5739769150052465,0.0
AOBTM3098N,23.72,100.0,1.0945008008542445,3.794109843459804,7.840236686390532,18.747044917257682,4.761904761904762,0.0,0.08257638315441783,16.44535240040858,0.0,0.0,0.0,0.1049317943336831,0.0
APXEE8191H,28.970000000000002,100.0,5.712760277629472,7.243300610241443,14.250493096646943,23.92434988179669,6.349206349206349,0.0,0.990916597853014,20.83758937691522,0.0,0.06675567423230974,0.0,0.2098635886673662,0.0
ATDID5461S,30.84,100.0,7.367859049652963,10.294507827009818,14.447731755424062,24.349881796690305,7.215007215007215,0.0,0.16515276630883566,23.6976506639428,0.2364066193853428,0.06675567423230974,0.0,1.5739769150052465,0.0
BBXPQ0212O,20.79,100.0,2.189001601708489,2.600159193420005,4.092702169625246,11.394799054373522,3.318903318903319,0.0,0.6606110652353426,13.48314606741573,0.0,0.0,0.0,0.1049317943336831,0.0
BICAW1125K,21.5,100.0,4.458088627869728,3.687980896789599,3.007889546351085,14.586288416075648,0.1443001443001443,0.0,0.2477291494632535,14.606741573033707,0.0,0.06675567423230974,0.2004008016032064,0.0,0.0
BQZGT7491V,33.07,100.0,13.747997864388681,9.020960466967365,13.116370808678502,26.6193853427896,13.275613275613276,0.0,3.5507844756399667,21.756894790602654,0.0,0.6008010680907877,0.0,1.5739769150052465,0.0
BXXZS5063A,27.0,100.0,4.938601174586226,4.988060493499602,7.347140039447732,20.212765957446805,8.513708513708513,0.0,3.7985136251032205,18.998978549540347,0.0,0.0,0.0,0.0,0.0
CNBGF2713O,40.93,100.0,22.42391884676989,17.96232422393208,27.465483234714007,39.0307328605201,12.554112554112553,0.0,12.716763005780345,32.89070480081716,1.8912529550827424,6.408544726301736,9.418837675350701,9.653725078698844,2.2988505747126435
CQAAX8797Z,27.01,100.0,5.392418579818473,6.792252586893074,8.629191321499013,21.98581560283688,5.916305916305916,0.0,1.8992568125516103,19.20326864147089,0.2364066193853428,0.06675567423230974,0.0,0.7345225603357817,0.0
CYVHC2532V,27.900000000000002,100.0,5.739455419113721,7.190236136906342,9.516765285996055,21.796690307328607,6.926406926406926,0.0,0.9083402146985963,18.590398365679263,0.0,0.06675567423230974,0.0,0.0,0.0
DANAH4615Q,23.35,99.6551724137931,3.8174052322477308,1.7245953833908196,9.516765285996055,17.63593380614657,7.6479076479076475,0.0,0.0,14.402451481103167,0.0,0.06675567423230974,0.2004008016032064,0.0,0.0
DLNBB9786K,33.96,100.0,9.423384943940203,14.088617670469619,17.011834319526628,29.148936170212764,9.956709956709958,0.0,9.413707679603633,23.391215526046988,1.1820330969267139,1.0680907877169559,0.8016032064128256,3.987408184679958,0.0
DNOYM6465G,29.65,100.0,7.394554191137213,8.88829928362961,10.650887573964498,23.85342789598109,9.37950937950938,0.0,2.3947151114781176,19.5097037793667,0.0,0.06675567423230974,0.0,0.4197271773347324,0.0
DQKFO8183I,20.25,100.0,3.7907100907634814,1.8572565667285754,5.128205128205128,14.940898345153663,5.339105339105339,0.0,0.2477291494632535,11.338100102145047,0.0,0.0,0.0,0.0,0.0
DZJVD1372Z,23.98,100.0,2.9097704217832354,6.394269036879809,7.100591715976331,19.929078014184398,3.6075036075036073,0.0,1.8992568125516103,17.97752808988764,0.2364066193853428,0.20026702269692925,0.0,1.049317943336831,0.0
EQPWM6065O,35.36,100.0,10.197544046983449,14.353940037145133,21.646942800788953,29.716312056737586,8.658008658008658,0.0,6.4409578860445915,27.27272727272727,0.0,0.7343124165554071,1.2024048096192386,4.931794333683106,0.0
EQZZZ5658G,28.349999999999998,100.0,5.766150560597971,7.269832846908994,11.341222879684418,22.71867612293144,6.493506493506493,0.0,1.0734929810074318,19.71399387129724,0.0,0.06675567423230974,0.0,0.1049317943336831,0.0
FAJKD7118X,24.310000000000002,100.0,3.6839295248264814,11.38232953037941,3.9447731755424065,17.4468085106383,5.05050505050505,0.0,0.16515276630883566,18.794688457609805,0.2364066193853428,0.5340453938584779,0.0,3.5676810073452256,0.0
FCCJC8768V,27.48,100.0,5.525894287239722,6.1820111435394,10.798816568047338,21.77304964539007,5.627705627705628,0.0,0.7431874483897605,17.87538304392237,0.0,0.06675567423230974,0.0,0.4197271773347324,0.0
FLVXS2956M,27.500000000000004,100.0,4.05766150560598,7.933138763597772,14.842209072978305,22.955082742316783,4.184704184704184,0.0,3.2204789430222958,20.224719101123593,0.2364066193853428,0.0,0.0,3.4627492130115427,0.0
FPTBM7594G,25.66,100.0,5.92632140950347,3.7410453701247013,4.930966469428008,19.314420803782507,6.782106782106783,0.0,1.486374896779521,15.219611848825332,0.0,0.0,0.0,0.0,0.0
FWHZZ0143J,28.13,100.0,5.632674853176722,7.110639426903688,11.094674556213018,22.52955082742317,5.772005772005772,0.0,0.990916597853014,20.020429009193055,0.0,0.06675567423230974,0.0,0.2098635886673662,0.0
FYFMU3598G,31.5,100.0,5.632674853176722,17.431679490581057,13.214990138067062,25.48463356973995,8.369408369408369,0.0,0.8257638315441783,24.514811031664966,0.9456264775413712,1.0680907877169559,0.0,8.499475341028331,0.0
